2025-11-09 22:58:45,779 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,780 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,780 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,780 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,780 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,781 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,781 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,781 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,781 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,782 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,782 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,782 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,782 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,783 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,783 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,783 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,783 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,347 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,347 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,347 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,348 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,348 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,348 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,348 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,349 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,349 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,349 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,349 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,350 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,350 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,351 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,351 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,351 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,351 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,352 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
